X,Y,Z,DIP,dipdir,feature_name,dip
331912.79309319897,7309792.294013616,0,90.0,210,s1,
293538.9508214597,7325385.340094466,0,76.0,74,s1,
294091.6945021624,7326092.416171172,0,80.0,182,s1,
294167.0945024084,7326059.052962156,0,80.0,167,s1,
294200.5396468707,7326051.6744640265,0,81.0,166,s1,
294223.41361894936,7326044.245976074,0,68.0,172,s1,
224141.31503195764,7240000.749883395,0,71.0,183,s1,
224503.57146358537,7240711.725166401,0,24.0,57,s1,
224626.5417395765,7240875.601809774,0,11.0,74,s1,
224677.2701736872,7240528.982363155,0,16.0,25,s1,
224548.4865774645,7240317.215467705,0,31.0,188,s1,
224493.20643730118,7239909.15852652,0,71.0,175,s1,
224569.75260990585,7239932.873699359,0,3.0,58,s1,
206353.50340342137,7247958.3901306745,0,26.0,28,s1,
206457.34332064615,7248197.861386978,0,30.0,37,s1,
206469.6791037146,7248250.4606805425,0,54.0,31,s1,
206524.69537686207,7248303.29992526,0,30.0,31,s1,
206574.66519329732,7248350.930230243,0,34.0,163,s1,
206657.5771576992,7248414.447301516,0,36.0,172,s1,
206742.1877660266,7248645.310310006,0,30.0,177,s1,
225565.21567119128,7332219.658991139,0,72.0,197,s1,
225753.27039621415,7332345.31341453,0,76.0,353,s1,
225855.73325744085,7332377.096945075,0,40.0,340,s1,
226207.96274240012,7332171.1688611135,0,71.0,48,s1,
229306.70979972224,7330686.741011872,0,77.0,189,s1,
229739.98768827238,7330767.234627599,0,85.0,204,s1,
230009.04134181363,7330489.591141107,0,80.0,187,s1,
197832.68493743916,7299778.532291835,0,37.0,192,s1,
197813.670020492,7300172.042194036,0,23.0,180,s1,
197601.45497168205,7300341.547691714,0,59.0,191,s1,
197607.82900932047,7300484.378618892,0,65.0,198,s1,
197534.3915200187,7300697.555227422,0,45.0,202,s1,
197754.07730376843,7300975.238705718,0,43.0,22,s1,
197256.457092162,7301183.396335913,0,77.0,9,s1,
202714.6123156277,7297557.844305724,0,12.0,169,s1,
202845.64702734572,7297996.4250338655,0,28.0,8,s1,
203143.7178069768,7298775.126531387,0,88.0,198,s1,
203161.44637221738,7299094.451533703,0,44.0,32,s1,
203227.52032256662,7299384.212553676,0,2.0,201,s1,
300991.84999251366,7318945.560892806,0,26.0,220,s1,
300849.7081285383,7318238.884734694,0,19.0,171,s1,
300834.4945458111,7317839.516025038,0,33.0,187,s1,
300100.4577324159,7316889.959304569,0,1.0,166,s1,
261506.3442217837,7322535.280216539,0,36.0,35,s1,
260506.57683009873,7323588.545827404,0,30.0,12,s1,
316979.10730570863,7273035.455761704,0,35.0,77,s1,
317010.15290948434,7273030.656738531,0,64.0,65,s1,
317534.2422812581,7273629.434858976,0,21.0,128,s1,
317763.5509652848,7274125.853814333,0,64.0,353,s1,
311522.0075505463,7247908.540272651,0,60.0,346,s1,
229577.29718022037,7302930.940624711,0,60.0,115,s1,
225862.0743116067,7302062.457402244,0,50.0,205,s1,
225873.27216815978,7302055.808755556,0,46.0,215,s1,
225622.99430207972,7301477.866394072,0,78.0,30,s1,
224540.85917143675,7223827.841832004,0,57.0,189,s1,
225309.41308908042,7224186.898746941,0,71.0,229,s1,
195646.69512236404,7233174.48935255,0,34.0,241,s1,
196032.6171271435,7234804.827501869,0,32.0,250,s1,
196077.75487882382,7235152.666700197,0,18.0,301,s1,
196012.5137587475,7235072.932929786,0,27.0,244,s1,
195894.1199263404,7235752.784547975,0,37.0,264,s1,
195974.0221575761,7235914.561618706,0,41.0,268,s1,
194830.03494909086,7235435.499130689,0,13.0,171,s1,
311824.1847606354,7280808.073667858,0,,210,s0,30.0
329929.65104829695,7276215.888393793,0,,218,s0,45.0
329602.5054216945,7276146.532510985,0,,140,s0,30.0
310683.6195775856,7250012.262066175,0,,356,s0,40.0
310663.89551803074,7249888.357286634,0,,340,s0,60.0
310580.00229815993,7249763.23275537,0,,360,s0,15.0
310652.763628229,7249470.54233166,0,,350,s0,40.0
310628.36417495884,7249399.856719511,0,,360,s0,40.0
310593.04722383816,7249366.023606143,0,,350,s0,45.0
310218.2736005803,7248807.037386173,0,,30,s0,80.0
310228.1851054222,7248644.990370374,0,,325,s0,85.0
310272.78687722015,7248526.064577375,0,,2,s0,80.0
310326.3024067012,7247752.6220093705,0,,330,s0,50.0
289425.9896532551,7245818.5756791085,0,,328,s0,20.0
289320.657238215,7245932.20255069,0,,340,s0,60.0
289065.1350151668,7245953.098297424,0,,305,s0,35.0
288502.6117631317,7246358.405798263,0,,340,s0,25.0
288646.94702168985,7247180.448473854,0,,340,s0,25.0
288630.85937946744,7247234.2675191425,0,,345,s0,15.0
289177.8721983824,7246062.416046111,0,,345,s0,55.0
290172.6920834883,7244698.953574936,0,,170,s0,45.0
290190.6185489872,7244623.768878564,0,,170,s0,50.0
289936.2424982989,7246317.124200992,0,,315,s0,40.0
289954.0452761336,7246375.6722837,0,,335,s0,70.0
289873.60706502746,7246401.257075991,0,,335,s0,50.0
290145.1344718506,7246497.587468214,0,,325,s0,60.0
289940.2417327805,7246617.892980378,0,,335,s0,40.0
289719.1953847342,7246373.082810782,0,,340,s0,40.0
289719.1541555147,7246277.012365643,0,,300,s0,35.0
287412.0081506797,7247504.232568556,0,,350,s0,15.0
287143.3997727321,7247526.008136206,0,,345,s0,20.0
287644.3677971002,7247146.165452078,0,,350,s0,42.0
287664.3474778279,7247043.536341935,0,,334,s0,45.0
287348.9686710377,7250322.15898779,0,,315,s0,5.0
287299.4111468202,7250473.858109874,0,,342,s0,5.0
287076.2291250991,7250647.032860658,0,,130,s0,5.0
287049.27346009423,7250886.2741637835,0,,165,s0,5.0
285920.09578802774,7252084.390290732,0,,174,s0,20.0
286113.3453949522,7251712.206047753,0,,155,s0,35.0
286103.6317903707,7251582.202509599,0,,175,s0,70.0
286556.0977585898,7252262.004137938,0,,110,s0,15.0
286063.9857709969,7253205.272138473,0,,352,s0,25.0
286062.79012357304,7253327.917174431,0,,345,s0,30.0
286066.44303259614,7253411.740112514,0,,2,s0,20.0
286225.4888773822,7254124.445043486,0,,4,s0,20.0
314135.52790019277,7246357.995881459,0,,185,s0,55.0
314191.805787512,7246134.421389398,0,,170,s0,70.0
314286.4103591222,7245564.497395778,0,,185,s0,10.0
